Ticker,ScanDate,ScanPrice,Score,MxV,RunUp,REL_VOL,RSI,ATRX,Gap,VWAP_dev,Volume,MarketCap,Hour,Float%,PriceToHigh,PriceTo52WHigh,ScanChange%,DayRunUp%,EntryScore,ScoreMax,ScoreMin,ScoreStd,ScanCount,Sector,Industry,MarketCapCategory,drop_max_pct,rise_max_pct,drop_d1_open,drop_d1_close,drop_d5_close,hit_tp10,hit_sl7,net_outcome,D1_Gap%,FirstScanTime,LastScanTime,PeakScoreTime
FGL,2026-03-26,3.3,9.21,-5.41,-13.24,3.14,30.51,1.11,4.68,-10.61,467476.0,1461990.0,,133.48,-26.74,-97.86,-9.18,3.95,,,,,,nan,nan,nan,-37.88,0.30303030303031003,-4.84848484848484,-25.454545454545453,-25.454545454545453,True,False,TP_HIT,-4.85,nan,nan,14:59
RBNE,2026-03-26,2.11,40.04,-213.84,-16.93,15.7,45.6,1.37,9.48,-9.31,21932900.0,14745695.0,,312.36,-24.64,-98.29,-9.05,3.0,,,,,,nan,nan,nan,-3.79,40.75829383886258,24.17061611374409,17.061611374407597,1.8957345971564,False,True,SL_HIT,24.17,nan,nan,14:00
ARTL,2026-03-27,11.36,89.5,-11207.39,42.18,64.23,68.0,5.37,150.47,-11.98,80127203.0,8050000.0,,10884.97,-42.94,-86.76,256.11,148.59,,,,,,nan,nan,nan,-38.38,-7.042253521126751,-32.74647887323944,-23.151408450704217,,True,False,TP_HIT,-32.75,nan,nan,11:38
ATPC,2026-03-27,3.03,65.85,-138.66,38.36,1.05,53.69,1.94,-1.79,5.21,2386572.0,3030000.0,,238.53,-11.92,-97.64,35.65,28.02,,,,,,nan,nan,nan,-18.48,18.48184818481848,-12.871287128712861,7.920792079207928,,True,True,SL_HIT,-12.87,nan,nan,14:57
NXTT,2026-03-27,2.38,77.0,-149.11,70.0,100.0,44.83,2.22,-5.41,11.91,12193898.0,11650000.0,,249.74,-10.19,-99.75,61.15,30.0,,,,,,nan,nan,nan,-31.93,18.06722689075631,-8.823529411764705,-15.546218487394963,,True,True,SL_HIT,-8.82,nan,nan,13:15
RBNE,2026-03-27,2.49,38.02,-477.98,-4.23,11.6,51.32,0.59,22.64,-2.1,16202081.0,6980000.0,,230.74,-8.79,-97.98,17.52,7.57,,,,,,nan,nan,nan,-18.47,19.277108433734938,4.417670682730918,1.6064257028112285,,True,True,SL_HIT,4.42,nan,nan,10:56
SST,2026-03-27,3.59,98.24,-740.53,154.61,100.0,62.97,6.31,2.92,10.23,83186634.0,35530000.0,,1029.09,-24.42,-76.07,162.04,129.06,,,,,,nan,nan,nan,-22.28,61.55988857938719,-11.420612813370466,-12.534818941504172,,True,True,SL_HIT,-11.42,nan,nan,14:16
ASTC,2026-03-30,4.42,87.83,-5820.29,40.31,100.0,83.02,8.74,32.92,-3.21,104207898.0,7780000.0,,5924.43,-31.79,-44.82,86.5,105.14,,,,,,nan,nan,nan,-27.6,45.92760180995476,-5.203619909502252,18.325791855203633,-23.755656108597282,True,True,SL_HIT,-5.2,nan,nan,08:53
AXTI,2026-03-30,52.81,17.14,62.75,-18.37,2.46,54.5,2.55,6.7,-8.75,20661359.0,2929006592.0,,37.18,-26.13,-26.13,-12.9,0.0,,,,,,nan,nan,nan,-24.82,14.466957015716723,2.7456921037682176,7.896231774285163,-20.48854383639462,True,True,SL_HIT,2.75,nan,nan,12:02
EEIQ,2026-03-30,8.06,52.36,-1489.73,-23.89,100.0,75.34,2.99,51.72,-8.48,23530318.0,11930000.0,,1590.45,-28.04,-71.05,15.47,0.91,,,,,,nan,nan,nan,-16.87,46.40198511166253,-8.8089330024814,10.421836228287837,2.109181141439205,True,True,SL_HIT,-8.81,nan,nan,10:07
